borough,category_name,grad_percent,advanced_regents_grads_percent,dropout_count,dropout_percent,cohort_year,year,cohort_name,grade,academic_year_id,attendance_percent,chronically_absent_count,regents_exam,total_tested,mean_score,number_scoring_below_60,percent_scoring_below_60,number_scoring_above_80,percent_scoring_above_80
Brooklyn,Male,76.5,21.3,1590,14.6,2012,2018,6 year June,10,2018-19,86.7,4136,Common Core Algebra,42,55.9,33,78.6,2,4.8
Manhattan,Female,88.2,37.4,287,3.7,2019,2023,4 year August,10,2023-24,86.8,3090,Common Core Algebra,20,60.7,12,60.0,1,5.0
Manhattan,Female,88.5,44.6,275,3.5,2018,2022,4 year August,10,2022-23,87.3,3007,Common Core Algebra,21,70.4,6,28.6,4,19.0
Manhattan,Female,87.4,48.0,253,3.2,2017,2021,4 year August,10,2021-22,85.3,3521,Common Core English,10,69.7,2,20.0,3,30.0
Manhattan,Female,85.4,42.5,298,3.5,2016,2020,4 year August,10,2020-21,86.3,2870,Common Core Algebra,18,63.8,7,38.9,0,0.0
Manhattan,Female,83.2,31.3,446,5.4,2015,2019,4 year August,10,2019-20,89.7,2464,Common Core Algebra,57,68.2,19,33.3,6,10.5
Manhattan,Female,81.8,30.6,446,5.4,2014,2018,4 year August,10,2018-19,89.6,2530,Common Core Algebra,21,63.9,10,47.6,1,4.8
Manhattan,Female,79.8,30.3,493,6.0,2013,2017,4 year August,9,2017-18,89.0,2051,Common Core Algebra,17,64.6,7,41.2,2,11.8
Manhattan,Female,79.6,27.4,504,6.0,2012,2016,4 year August,9,2016-17,89.0,2161,Common Core Algebra,13,62.7,7,53.8,1,7.7
Manhattan,Female,86.0,38.1,291,3.8,2019,2023,4 year June,10,2023-24,86.8,3090,Common Core Algebra,20,60.7,12,60.0,1,5.0
Manhattan,Female,86.5,45.3,277,3.5,2018,2022,4 year June,10,2022-23,87.3,3007,Common Core Algebra,21,70.4,6,28.6,4,19.0
Manhattan,Female,85.7,48.8,255,3.2,2017,2021,4 year June,10,2021-22,85.3,3521,Common Core English,10,69.7,2,20.0,3,30.0
Manhattan,Female,84.1,43.1,299,3.6,2016,2020,4 year June,10,2020-21,86.3,2870,Common Core Algebra,18,63.8,7,38.9,0,0.0
Manhattan,Female,80.6,32.1,450,5.4,2015,2019,4 year June,10,2019-20,89.7,2464,Common Core Algebra,57,68.2,19,33.3,6,10.5
Manhattan,Female,79.3,31.5,446,5.4,2014,2018,4 year June,10,2018-19,89.6,2530,Common Core Algebra,21,63.9,10,47.6,1,4.8
